name,rest_type,dish_liked,rate,votes,location
Pure & Natural,Casual Dining,"Salads, Sandwiches, Pasta, Mocktails, Corn Sandwich, Garden Salad, Miso Salad",3.9/5,212,Jayanagar
ShakesBierre,"Microbrewery, Casual Dining","Cocktails, Mocktails, Pizza, Sweet Yogurt, Jujeh Kabab, Burgers, Karela Chaat",4.4 /5,371,Brigade Road
Portland Steakhouse & Cafe,Casual Dining,"Spaghetti, Beef Steak, Bbq Chicken Pizza, Burgers, Apple Pie, Ice Tea, Salads",4.3/5,2040,MG Road
Checkpost,Casual Dining,"Filter Kaapi, Coffee, Egg Curry, Neer Dosa, Kadala Curry, Sea Food, Ghee Idli",4.1/5,956,JP Nagar
The Hub & The Bar - Hotel Ramada Encore,"Casual Dining, Bar","Sandwiches, Lunch Buffet, Biryani, Gulab Jamun, Breakfast Buffet, Pasta, Vada",4.0/5,115,Domlur
La Brasserie - Le Meridien,Fine Dining,"Pasta, Veg Sushi, Biryani, Lunch Buffet, Waffles, Grilled Lamb, Sunday Brunch",4.1 /5,309,Sankey Road
Edo Restaurant & Bar - ITC Gardenia,Fine Dining,"Sushi, Teriyaki Chicken, Oysters, Tiramisu, Chocolate Mousse, Tempura, Salmon",4.3 /5,237,Richmond Road
Maxpresso,Cafe,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami",4.1/5,323,Koramangala 7th Block
Season - Adarsh Hamilton,Casual Dining,"Fish, Pepper Corn, Salads, Mutton Biryani, Lunch Buffet, Apple Pie, Dahi Vada",4.3 /5,331,Richmond Road
LIT Gastro Pub,Pub,"Mocktails, Cocktails, Beer, Peri Peri Fries, Hot Wings, Pasta, Chilli Chicken",3.7/5,206,Jayanagar
Hakuna Matata,"Casual Dining, Bar","Mocktails, Cocktails, Appam, Paneer Satay, Sea Food, Paneer Tikka, Jeera Rice",4.5/5,2800,JP Nagar
Cubbon Pavilion - ITC Gardenia,Fine Dining,"Cocktails, Breakfast Buffet, Croissants, Lassi, Salads, Caramel Cake, Waffles",4.3/5,679,Richmond Road
Spice Terrace - JW Marriott,"Fine Dining, Microbrewery","Chicken Tikka, Faluda, Raita, Tarkari Biryani, Butter Naan, Fish, Dal Makhani",4.3/5,755,Lavelle Road
KA53,Delivery,"Paneer Pasanda, Panneer Butter Masala, Murgh Platter, Veg Platter, Jeera Rice",3.9 /5,45,Whitefield
Chaatimes,Quick Bites,"Dabeli, Faluda, Masala Poori, Tokri Chaat, Sandwiches, Pav Bhaji, Basket Chat",3.9 /5,142,Basavanagudi
Shiv Sagar,Food Court,"Coffee, Chaat, Bhel Puri, Spring Dosa, Buttermilk, Bread Pakora, Masala Poori",3.9 /5,150,Koramangala 7th Block
Kidilum,Quick Bites,"Beef Fry, Appam, Chicken Curry, Kerala Parotta, Idiyappam, Egg Curry, Biryani",3.8 /5,210,Whitefield
Nuts Over Salads Cafe,Cafe,"Salad, Salads, Peri Peri Chicken, Burgers, Broccoli Soup, Steak, Soba Noodles",4.4 /5,214,Koramangala 5th Block
Abbabi Chicken,Quick Bites,"Rolls, Chicken Shawarama, Chicken Shwarma Roll, Abbabi Chicken, Shawarma Roll",3.7 /5,134,Bellandur
Jalpaan,Casual Dining,"Mocktails, Corn Cigars, Seekh Kebab, Potli Biryani, Pizza, Thali, Rumali Roti",3.9 /5,675,Rajajinagar
Brunchilly,Casual Dining,"Biryani, Pasta, Egg Salad, Nasi Goreng, Fish, Butter Chicken, Paneer Lababdar",4.0 /5,213,Marathahalli
Saffron - Radisson Blu,"Fine Dining, Bar","Gulab Jamun, Roti, Dahi Ke Kabab, Mocktails, Dumplings, Biryani, Paneer Tikka",4.5 /5,457,Marathahalli
HOMMS,Quick Bites,"Tandoori Momos, Pasta, Afghani Momos, Chicken Wings, Chowmein, Roasted Chilli",4.5 /5,236,Marathahalli
Parika Multicuisine & Coastal Fine Dine,Casual Dining,"Sea Food, Fish, Prawn Curry, Neer Dosa, Appam, Murgh Ghee Roast, Mutton Curry",3.9 /5,606,HSR
BiereKraft,Bar,"Cocktails, Mocktails, Long Island Iced Tea, Beer, Tom Yum Soup, Fish, Sangria",4.2 /5,746,Marathahalli
Hunger Meals,"Takeaway, Delivery","Andhra Thali, Rice, Mango Dal, Salad, Chicken Meal, Aloo Matar, Chicken Curry",3.9/5,152,HSR
Fat Buddha,Casual Dining,"Crab Soup, Noodles, Wine, Spicy Crabmeat Soup, Manchow Soup, Momos, Sea Food",4.0 /5,457,Cunningham Road
Sri Guru Kottureshwara Davangere Benne Dosa,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",4.1/5,558,Basavanagudi
Paradox Rest-O-Cafe,Casual Dining,"Sandwiches, Beer, Sandwich, Lasagne, Minotaur Steak, Dorai Chicken, Lemonade",3.7/5,124,Kalyan Nagar
Hyderabadi Bawarchi,Casual Dining,"Raita, Vegetable Biryani, Hyderabadi Biryani, Chicken Curry, Chicken Biryani",3.2/5,136,Bannerghatta Road
Aioli,Casual Dining,"Garlic Bread, Salad, Salads, Pita Bread, Lamb Chops, Sea Food, Chicken Wings",4.2 /5,789,Kalyan Nagar
Gokul Kuteera,Casual Dining,"Manchow Soup, Spring Roll, Masala Papad, Curd Rice, Malai Kofta, Roti, Thali",3.9 /5,260,Indiranagar
Smacznego,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",4.2/5,504,Banashankari
Chugg,Pub,"Beer, Butter Garlic Prawns, Potato Wedges, Nachos, Pasta, Cocktails, Burgers",4.0 /5,752,Church Street
Ginger,Quick Bites,"Butter Chicken, Tandoori Chicken, Rolls, Chicken Masala, Chicken Tikka, Roti",3.6 /5,159,Sanjay Nagar
Bhavani Vada Pav,Quick Bites,"Vada Pav, Dabeli, Pav Bhaji, Chaat, Misal Pav, Bread Pakora, Jumbo Vada Pavs",4.0 /5,106,Yeshwantpur
Fragrant Kitchen,"Casual Dining, Cafe","Burgers, Pasta, Hot Dog, Mashed Potato, Plum Cake, Sunday Brunch, Cheesecake",3.8/5,110,Kalyan Nagar
Punjab Mail,Casual Dining,"Biryani, Sweet Lassi, Thali, Butter Kulcha, Palak Paneer, Cheese Naan, Kulfi",3.8 /5,323,Malleshwaram
The Himalayan,Casual Dining,"Mocktails, Kimchi, Sushi, Pork Bibimbap, Ginger Tea, Chicken Sizzler, Salads",4.4 /5,326,Koramangala 5th Block
Feast India Co.,Casual Dining,"Naan, Sheermal, Phirni, Rasmalai, Chicken Tikka, Paneer Tikka, Galauti Kebab",4.2 /5,136,Cunningham Road
Loveshack,"Lounge, Cafe","Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos",4.0/5,1724,Domlur
Chicken County,Quick Bites,"Tandoori Chicken, Rolls, Punjabi Chicken, Hyderabadi Biryani, Butter Chicken",3.2 /5,192,New BEL Road
Arya Hungry?,Quick Bites,"Chole, Kulcha, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",4.3/5,279,Koramangala 7th Block
Brooks and Bonds Brewery,"Casual Dining, Microbrewery","Beef Chilli, Salad, Cocktails, Pizza, Craft Beer, Potato Wedges, Mango Cider",4.4/5,3870,Koramangala 5th Block
HighTeaParty Cafe,Cafe,"Cheese Balls, Mushroom Pasta, Paneer Pizza, Chicken Peri Peri Sizzler, Chips",3.9 /5,72,Malleshwaram
Chaska Bun,Quick Bites,"Ginger Tea, Chai, Samosa, Bun Omelette, Elaichi Tea, Egg Bhurji, Carrot Cake",4.2 /5,166,Koramangala 5th Block
Karnataka Bhel House,Quick Bites,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",4.1/5,449,Basavanagudi
Bun World,Bakery,"Sandwiches, Burgers, Hot Dog, Sandwich, Honey Cake, Pizza, Veg Cheese Burger",3.9 /5,132,Malleshwaram
Saha Chowmein,Casual Dining,"Manchow Soup, Spring Roll, Saha Chowmein, Sandwiches, Tandoori Chicken, Roti",3.9 /5,162,Sahakara Nagar
Tibetan Kitchen,Quick Bites,"Noodles, Pasta, Tibetan Momos, Clear Soup, Chicken Momo, Tibetan Thukpa, Tea",4.3/5,245,Koramangala 5th Block
Qissa Khawani,Casual Dining,"Lassi, Paratha, Chicken Tikka, Mutton Pulao, Dal Makhani, Garlic Naan, Kheer",4.3 /5,327,Church Street
Grills And Tandoor,Casual Dining,"Chicken Grill, Biryani, Shahi Tukda, Chop Suey, Barbeque Chicken, Naan, Fish",3.6/5,107,Koramangala 5th Block
XU,"Club, Casual Dining","Cocktails, Biryani, Pizza, Veg Sushi Platter, Salads, Cheesecake, Lamb Chops",4.0/5,427,Old Airport Road
Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,Quick Bites,"Sandwiches, Sandwich, French Fries, Creme Caramel, Onion Rings, Potato Fries",4.4/5,580,Thippasandra
Clove Rooftop,Casual Dining,"Sea Food, Fish, Masala Papad, Chilli Paneer, Cocktails, Corn Pakoda, Biryani",3.8/5,235,Jayanagar
Wanderers,"Microbrewery, Casual Dining","Pizza, Peri Peri Fries, Wheat Beer, Craft Beer, Chips, Stout, Chicken Burger",4.0/5,662,Kalyan Nagar
Wall Street 657,Bar,"Beer, Cocktails, Brownie, Chicken Satay, Chicken Wings, Pizza, Chilli Paneer",4.1/5,1858,Indiranagar
Hotel Emirates,Casual Dining,"Chicken Grill, Biryani, Roti, Shawarma, Kulcha, Fried Rice, Tandoori Chicken",3.1 /5,94,RT Nagar
JustBe Cafe,Cafe,"Salad, Salads, Sandwich, Nachos, Garden Pizza, Herbed Potato Wedges, Falafel",4.3 /5,476,Sadashiv Nagar
Banchharam,"Quick Bites, Sweet Shop","Mishti Doi, Rasgulla, Radhaballavi, Rasmalai, Chamcham, Dum Aloo, Malai Roll",3.9 /5,140,Koramangala 7th Block
9D Foods,Quick Bites,"Kheer, Paneer Chatpata, Mango Lassi, Thali, Paratha, Gulab Jamun, Buttermilk",4.1 /5,461,Marathahalli
The Humming Tree,Lounge,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay",4.0 /5,2431,Indiranagar
Chefkraft,"Takeaway, Delivery","Salads, Salad, Sushi, Kung Pao Chicken, Bento Box, Nasi Goreng, Baked Yogurt",3.9/5,145,Indiranagar
Taaza Thindi,Quick Bites,"Masala Dosa, Vada, Upma, Filter Coffee, Kesari Bath, Idli Chutney, Kharabath",4.7/5,651,Banashankari
Cafe Noir,Casual Dining,"Coffee, Sandwiches, Mushroom Pasta, Mocktails, Creme Brulee, Burgers, Salads",4.2 /5,2080,Lavelle Road
Mother's Meal,Quick Bites,"Sweet Lassi, Thali, Kadhai Paneer, Kadhi, Aloo Paratha, Paneer Bhurji, Chole",3.8/5,133,CV Raman Nagar
Brahma Brews,"Microbrewery, Casual Dining","Beer, Cocktails, Pizza, Peri Chicken, Tiramisu, Peri Peri Fries, Belgian Wit",NEW,0,JP Nagar
The Rendezvous,Casual Dining,"Chicken Fritters, Steak, Sandwiches, Burgers, Pasta, Salads, Beef Stroganoff",3.7/5,483,Koramangala 4th Block
Bhagini,Casual Dining,"Naan, Pot Biryani, Chicken Guntur, Paneer Tikka, Tandoori Roti, Thali, Lassi",2.0 /5,259,Marathahalli
One For The Road,Bar,"Cocktails, Pasta, Pizza, Mocktails, Thai Crispy Chicken, Beer, Chicken Wings",4.5/5,755,Nagawara
Java City,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza",2.6/5,157,Jayanagar
Hiyar Majhe Kolkata,Quick Bites,"Radhaballavi, Egg Noodles, Egg Roll, Fish Curry, Egg Devils, Thali, Alur Dom",3.9/5,247,BTM
The Little Chef,Casual Dining,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",3.5/5,136,HSR
Shubh Sweets,"Quick Bites, Sweet Shop","Panipuri, Jalebi Rabri, Momos, Papdi Chaat, Dhokla, Paratha, Aloo Tikki Chat",3.9/5,331,HSR
Just Bake,Bakery,"Omelette, Mocha Coffee, Chicken Mayo Sandwich, Sandwiches, English Breakfast",3.6/5,154,HSR
Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,Quick Bites,"Sandwiches, Sandwich, French Fries, Creme Caramel, Onion Rings, Potato Fries",4.4 /5,593,Thippasandra
Saahib,Quick Bites,"Mango Kulfi, Kulcha, Chole, Rice, Tandoori Chicken, Shahi Tukda, Paneer Wrap",3.9/5,89,HSR
Le Cirque Signature - The Leela Palace,Fine Dining,"Wine, Asparagus Soup, Creme Brulee, Pasta, Ravioli, Tiramisu, Lobster Bisque",4.3 /5,128,Old Airport Road
SantÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Spa Cuisine,Casual Dining,"Biryani, Tomato Soup, Farm Pizza, Dumplings, Lemonade, Salad, Smoothie Bowls",4.9 /5,246,Indiranagar
Foxtrot - House of Subculture,"Cafe, Lounge","Cocktails, Fish, Mocktails, Momos, Pizza, Chicken Lollipop, Mushroom Risotto",4.4 /5,377,Koramangala 3rd Block
The Chaat Shop,Quick Bites,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",2.5 /5,35,Basavanagudi
Chavadi,"Casual Dining, Bar","Pizza, Cocktails, Saffron Rice, Pie, Sulemani Chai, Prawn Crackers, Waffles",4.4/5,2237,Bannerghatta Road
Marzipan Cafe & Bakery,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate",4.2/5,432,Ulsoor
Willys Top Cafe,Cafe,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries",4.0/5,310,Jayanagar
The Teal Door Cafe,Cafe,"Mocktails, Sandwiches, Mushroom Soup, Idli Platter, Nachos, Appam, Egg Dosa",4.2/5,1855,Indiranagar
The Juice Shop - Juicery And Kitchen,Quick Bites,"Burgers, Lamb Burger, Sandwiches, Brownie, Churros, Hot Dog, Chocolate Cake",3.9/5,39,Kalyan Nagar
Sixth Avenue Cafe And Patisserie,"Cafe, Dessert Parlor","Tea, Chocolate Bomb, Waffles, Peri Chicken, Fries, Pasta Alfredo, Mocktails",4.4 /5,174,Koramangala 5th Block
Puran da Dhaba - The Pride Hotel,"Casual Dining, Bar","Paneer Tikka, Biryani, Hara Bhara Kebab, Gulab Jamun, Mocktails, Roti, Fish",4.0/5,162,Richmond Road
Regency Park,Casual Dining,"Rolls, Chicken Roll, Biryani, Panneer Butter Masala, Ghee Rice, Rumali Roti",3.6/5,147,Kammanahalli
Ramji Chaiwale,Quick Bites,"Sandwiches, Maggi, Ginger Chai, Samosa, Ginger Tea, Kesar Chai, Masala Chai",3.9 /5,124,Old Airport Road
The Trundle,Casual Dining,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup",3.7/5,133,Jayanagar
Church Street Social,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog",4.3/5,7544,Church Street
Nizaam's Kaati Rolls & Kebabs,Quick Bites,"Rolls, Paratha, Chicken Chaap, Kathi Roll, Chicken Egg Roll, Mutton Biryani",3.7 /5,112,Jeevan Bhima Nagar
Brew and Barbeque - A Microbrewery Pub,"Microbrewery, Pub","Bbq Platter, Craft Beer, Cocktails, Nachos, Pizza, Cosmopolitan, Wheat Beer",4.6 /5,5894,Marathahalli
Sidewalk - The Garden Bar,"Bar, Casual Dining","Veg Burger, Pesto Pasta, Cocktails, Pizza, Craft Beer, Chicken Steak, Prawn",4.4 /5,3004,Marathahalli
Nizam's Biryani House,Casual Dining,"Hyderabadi Biryani, Tikka, Chicken Biryani, Chicken Lollipop, Paneer Kulcha",3.9 /5,772,Marathahalli
Cafe Mangii,Casual Dining,"Pasta, Mocktails, Tiramisu, Sangria, Mousse, Minestrone Soup, Cajun Chicken",4.3/5,1048,Lavelle Road
Gam's Delicacy,Casual Dining,"Fish, Veg Thali, Bamboo Shoot Pork, Pork Fry, Kheer, Pork Thali, Clear Soup",4.2/5,325,Koramangala 7th Block
Sanchez,Lounge,"Nachos, Cocktails, Tacos, Prawn Taquitos, Churros, Chimichangas, Enchiladas",4.3 /5,1050,Lavelle Road
Churrascaria Brazil,Casual Dining,"Salads, Pineapple Grill, Caramel Custard, Caramel Pudding, Chicken Sausages",4.1/5,111,Kammanahalli
Cafe Coffee Day,Cafe,"Coffee, Chicken Sandwich, Brownie, Hot Chocolate, Cappuccino, Corn Sandwich",2.9/5,55,Lavelle Road
Glen's Bakehouse,"Bakery, Cafe","Coffee, Pizza, Cheesecake, Pasta, Potato Salad, Sandwiches, Chicken Pot Pie",4.2/5,5308,Indiranagar
The Terrace at Windmills Craftworks,Casual Dining,"Beer, Mango Lassi, Thandai, Matka Kulfi, Salads, Palak Pakoda, Lunch Buffet",4.1/5,450,Whitefield
The Lassi Park,Quick Bites,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",4.1/5,185,Jayanagar
Vinny's,Casual Dining,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",4.2/5,2115,Banashankari
Zayakedar,Quick Bites,"Rajma, Fried Rice, Lassi, Butter Phulkas, Bhindi Fry, Thali, Butter Chicken",4.0/5,251,Bellandur
Mynt - The Taj West End,Fine Dining,"Sunday Brunch, Pasta, Shawarma, Breakfast Buffet, Lamb, Lunch Buffet, Pizza",4.1/5,339,Race Course Road
Axomi - Taste of Assam,Casual Dining,"Thali, Duck Curry, Fish, Brinjal Fry, Aloo Pitika, Chicken Curry, Lime Soda",4.1 /5,616,Koramangala 7th Block
Namma Kudla,Quick Bites,"Sea Food, Neer Dosa, Fish, Crab Sukha, Biryani, Chicken Thali, Chicken Meal",3.9/5,200,JP Nagar
The Asian Curry House,Casual Dining,"Sushi, Noodles, Khao Suey, Momos, Vegetarian, Thukpa Soup, Thai Green Curry",4.5 /5,789,Malleshwaram
The Elaichi Restaurant,Casual Dining,"Momos, Butter Chicken, Fish, Rolls, Laccha Paratha, Salad, Tandoori Chicken",3.6/5,399,Electronic City
Melting Spot,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli",4.0/5,134,Indiranagar
Alloro - The Oterra,Fine Dining,"Pasta, Pizza, Tiramisu, Minestrone Soup, Mushroom Risotto, Clear Soup, Wine",4.0/5,63,Electronic City
Gud Dhani,Casual Dining,"Buttermilk, Jal-jeera, Churma, Palak Kofta, Lassi, Gulab Jamun, Dahi Bhindi",4.0/5,827,BTM
Fresh Veg,Quick Bites,"Chaat, Lassi, Tawa Pulav, Potato Twister, Dal Makhani, Chole Bhature, Rajma",2.7 /5,94,New BEL Road
Fire Station,"Pub, Casual Dining","Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka",4.4/5,809,Electronic City
Doner Bel,Quick Bites,"Burgers, Doner Kebabs, Lamb Doner, Hummus Pita, Momos, Rolls, Chicken Doner",3.4 /5,64,New BEL Road
Shizusan Shophouse & Bar,"Casual Dining, Bar","California Roll, Cocktails, Mocktails, Maki Roll, Noodles, Veg Sushi, Momos",4.4 /5,1313,Whitefield
Vaathsalya Millet Cafe,Casual Dining,"Khichda, Thali, Jowar Roti, Cucumber Juice, Brownie, Palak Soup, Buttermilk",4.1/5,294,JP Nagar
Fusion Theory,Casual Dining,"Aam Panna, Pasta, Chinese Bhel, Biryani, Paneer Tikka, Veg Pulao, Pav Bhaji",4.1 /5,218,Jayanagar
RawStraw,Cafe,"Ginger Tea, Waffles, Smoothie Bowl, Egg Salad, Pancakes, Salads, Cheesecake",4.1/5,172,Kalyan Nagar
Maa Bhook Lagi,Delivery,"Paratha, Chicken Thali, Kheer, Veg Dum Biryani, Raita, Chole, Chicken Curry",4.1/5,152,HSR
North Indian Bhukkads,Quick Bites,"Lassi, Thali, Biryani, Pav Bhaji, Chole Bhature, Gulab Jamun, Veg Kolhapuri",4.0/5,202,Nagawara
Big Pitcher,"Pub, Microbrewery","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food",4.7/5,9041,Old Airport Road
Lazio Steaks & More,Casual Dining,"Burgers, Beef Steak, Mutton Biryani, Pie, Mudpie, Cheesecake, Chicken Wings",3.9/5,119,Frazer Town
Whitefield Bar and Grill - Bengaluru Marriott Hotel...,Fine Dining,"Burgers, Cocktails, Beef Patty, Chaap, French Fries, Chicken Burger, Kulcha",4.2/5,74,Whitefield
Windmills Craftworks,"Microbrewery, Pub","Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos",4.6 /5,5954,Whitefield
Red Rhino,"Microbrewery, Pub","Beer, Margarita, Long Island Iced Tea, Cocktails, Pizza, Churros, Mocktails",4.4 /5,1980,Whitefield
Achayyan's,Quick Bites,"Beef Fry, Kerala Parotta, Fish, Roast Beef, Appam, Crab Toast, Mackerel Fry",3.8/5,405,Indiranagar
TRUE BLEU RESTO CAFE,Quick Bites,"Pizza, Bannoffee Pie, Mocktails, Pasta Alfredo, Burgers, Nachos, Veg Burger",4.2/5,71,HSR
Shri Madhuram,Casual Dining,"Vada, Coffee, Breakfast Buffet, Thali, Idli, Onion Rava Masala Dosa, Pongal",3.9/5,371,HSR
Grubbery,Cafe,"Burgers, Chicken Skewer, Waffles, Pancakes, Pesto Pasta, Coffee, Sandwiches",4.1 /5,638,New BEL Road
Soo Ra Sang,Casual Dining,"Cheesecake, Beef Bulgogi, Kimchi, Bibimbap, Clear Soup, Cinnamon Tea, Sushi",4.1/5,290,Indiranagar
Harima,Casual Dining,"Sushi, Tuna Sashimi, Salads, Tofu Teriyaki, Pork Rice, Fried Noodles, Ramen",4.3 /5,678,Residency Road
Ministry of Food - Hilton Bangalore Embassy GolfLinks,Fine Dining,"Chicken Curry, Jalebi, Pasta, Breakfast Buffet, Paratha, Fish, Mutton Sukha",4.2 /5,469,Domlur
Somilan Steak House,Casual Dining,"Salads, Beef Steak, Pork Chops, Crispy Pork, Wine, Chicken Salad, Pork Ribs",4.3/5,527,Church Street
The Creek - The Den Bengaluru,Casual Dining,"Chaat, Cocktails, Grilled Eggplant, Salads, Mousse, Sunday Brunch, Iced Tea",4.4 /5,383,Whitefield
Upahara Darshini,Quick Bites,"Masala Dosa, Vada, Set Dosa, Filter Coffee, Raita, Idli Sambar, Crispy Dosa",4.2/5,254,Basavanagudi
Purani Dehli,Food Court,"Chaat, Chole Bhature, Lassi, Paratha, Chhole Bhature, Panipuri, Raj Kachori",2.6 /5,60,Whitefield
Aroma Fine Dine,Casual Dining,"Chicken Biryani, Dal Makhani, Garlic Naan, Bamboo Biryani, Murgh Ghee Roast",4.0 /5,128,HSR
Chickpet Donne Biryani House,Quick Bites,"Mutton Biryani, Donne Biryani, Mutton Fry, Chicken Guntur, Chicken Biryani",3.8/5,185,Kammanahalli
Cafe Mozaic - Taj MG Road Bengaluru,"Casual Dining, Cafe","Paneer Lababdar, Sandwiches, Oysters, Paratha, Coffee, Jeera Rice, Biryani",4.1 /5,568,MG Road
Wazir's,Casual Dining,"Biryani, Butter Chicken, Butter Naan, Kalmi Kebab, Roti, Rolls, Fried Rice",3.3 /5,262,Shanti Nagar
The Only Place,Casual Dining,"Steak, Burgers, Meatballs, Apple Pie, Salads, Bruschettas, Chicken Sizzler",4.2 /5,2938,Church Street
Zabi,Quick Bites,"Chicken Biryani, Chicken Samosa, Hyderabadi Biryani, Kheer, Mutton Biryani",3.8/5,173,HBR Layout
"Lush - Renaissance Hotel, Bengaluru",Casual Dining,"Chicken Tikka, Paneer Tikka, Brownie, Biryani, Mocktails, Tea, Dal Makhani",4.5 /5,416,Race Course Road
Cafe On The Way,Cafe,"Waffles, Coffee, Pesto Sandwich, Hazelnut Cappuccino, Latte, Salads, Pasta",4.0/5,275,Koramangala 3rd Block
Sweet Chariot,Dessert Parlor,"Chicken Lasagne, Chocolate Cake, Mushroom Quiche, Sandwiches, Pizza, Steak",3.8 /5,111,Cunningham Road
Bean Flickers,Cafe,"Burgers, Coffee, Mutton Burger, Sandwiches, Hot Chocolate, Fries, Sandwich",4.3 /5,398,Indiranagar
Kairali,Quick Bites,"Beef Fry, Fish Fry, Appam, Masala Prawn, Egg Roast, Chicken Curry, Biryani",3.9 /5,172,BTM
Shree Thali,Mess,"Veg Thali, Paratha, Kadhi, Shrikhand, Buttermilk, Sweet Lassi, Bati Churma",4.1 /5,183,Koramangala 5th Block
Malnad Military Hotel,Casual Dining,"Chicken Curry, Pepper Chicken, Neer Dosa, Mutton Chops, Fish, Mutton Curry",3.8 /5,40,Koramangala 7th Block
Eatsomnia,Delivery,"Naan, Chicken Biryani, Butter Chicken, Pasta, Noodles, Rajma Chawal, Maggi",3.5 /5,433,Koramangala 1st Block
Maraheb Restaurant,Casual Dining,"Kunafa, Tea, Mutton Madfoon, Mutton Ribs, Salad, Lamb Ribs, Arabic Cuisine",4.2/5,219,Kalyan Nagar
Nisarga Garden,Quick Bites,"Akki Rottis, Rumali Roti, Masala Dosa, Vada, Raagi Roti, Rava Idli, Coffee",4.0 /5,90,Infantry Road
Charminar Kabab Paradise,Casual Dining,"Rolls, Biryani, Chicken Roll, Chicken Kebab, Mutton Seekh Roll, Keema Roti",4.0 /5,106,Frazer Town
The Souk,Cafe,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak",3.7 /5,66,Ulsoor
Kartik's Mithai Shoppe,"Quick Bites, Sweet Shop","Chaat, Panipuri, Chole Bhature, Rasmalai, Chhole Bhature, Sev Puri, Samosa",4.1 /5,110,Indiranagar
FreshMenu,Delivery,"Salads, Burgers, Salad, Potato Wedges, Chicken Dum Biryani, Pizza, Noodles",3.6 /5,385,Central Bangalore
Vintage Shack,"Casual Dining, Lounge","Panna Cotta, Murgh Makhani, Pasta, Lemonade, Chicken Biryani, Kulcha, Naan",3.9 /5,161,HSR
Kick Out the Jams,Delivery,"Burgers, Pizza, Bacon Burger, Wings, Cheesecake, Chicken Burger, Pepperoni",4.0 /5,528,Ejipura
Wok Paper Scissors,Casual Dining,"Noodles, Manchow Soup, Khau Suey, Chilli Chicken, Chaat, Cheesecake, Momos",4.3 /5,1593,Koramangala 5th Block
Enerjuvate Studio & Cafe,Cafe,"Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea",4.4 /5,467,Koramangala 4th Block
b CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© - Shangri-La Hotel,"Fine Dining, Bar","Sea Food, Lunch Buffet, Sushi, Cappuccino, Mutton Biryani, Noodles, Salads",4.3 /5,429,Vasanth Nagar
Cafe At The Atelier,Cafe,"Coffee, Pasta, Burgers, Chocolate Milkshake, Spaghetti, Sandwich, Pancakes",4.2 /5,510,Sarjapur Road
Soul City,Casual Dining,"Pasta, Salads, Mousse, Brownie, Chicken Sandwich, Fish Grill, Lunch Buffet",3.8 /5,216,Lavelle Road
Hungry Lee,Quick Bites,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings",4.1 /5,357,BTM
TBC- Sky Lounge,"Casual Dining, Bar","Fish, Peri Peri Chicken, Cocktails, Chilli Chicken, Nachos, Burgers, Pasta",4.4 /5,623,Marathahalli
